郵件ID,郵件日期,交易時間,策略,帳戶,價格,交易方向,數量,倉位前,倉位後,系統狀態,錯誤訊息,原始內容
1412eb3870624dde,Wed Sep 18 2013 09:33:32 GMT+0800 (Taiwan Standard Time),Wed Sep 18 2013 09:33:23 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8243,long_to_short,-2,1,-1,normal,,"2013/09/18 09:33:23 ""8243.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
140327b1971aa230,Wed Jul 31 2013 10:07:13 GMT+0800 (Taiwan Standard Time),Wed Jul 31 2013 10:07:00 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8096,long_to_short,-2,1,-1,normal,,"2013/07/31 10:07:00 ""8096.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
1402d4d3347f1c7c,Tue Jul 30 2013 09:59:17 GMT+0800 (Taiwan Standard Time),Tue Jul 30 2013 09:59:08 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8093,short_to_long,2,-1,1,normal,,"2013/07/30 09:59:08 ""8093.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
1400e7a6de944f68,Wed Jul 24 2013 10:19:40 GMT+0800 (Taiwan Standard Time),Wed Jul 24 2013 10:19:31 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8110,long_to_short,-2,1,-1,normal,,"2013/07/24 10:19:31 ""8110.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13fe00386a4c3449,Mon Jul 15 2013 09:48:13 GMT+0800 (Taiwan Standard Time),Mon Jul 15 2013 09:48:03 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8198,short_to_long,2,-1,1,normal,,"2013/07/15 09:48:03 ""8198.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13fd0dc856b53207,Fri Jul 12 2013 11:11:15 GMT+0800 (Taiwan Standard Time),Fri Jul 12 2013 11:11:06 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8154,long_to_short,-2,1,-1,normal,,"2013/07/12 11:11:06 ""8154.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13fcbae49db409af,Thu Jul 11 2013 11:02:32 GMT+0800 (Taiwan Standard Time),Thu Jul 11 2013 11:02:23 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8133,short_to_long,2,-1,1,normal,,"2013/07/11 11:02:23 ""8133.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13fcb74941273c02,Thu Jul 11 2013 09:59:41 GMT+0800 (Taiwan Standard Time),Thu Jul 11 2013 09:59:32 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,8089,long_to_short,-2,1,-1,normal,,"2013/07/11 09:59:32 ""8089.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
13fa7c83ce3f4969,Thu Jul 04 2013 11:44:24 GMT+0800 (Taiwan Standard Time),Thu Jul 04 2013 11:44:16 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,7863,short_to_long,2,-1,1,normal,,"2013/07/04 11:44:16 ""7863.00"" 空翻多目前倉位：+1 之前倉位：-1 交易所_B(小型台指) 倍數：1, 本次下單：2 , 帳戶實際倉位：1 , 總倉位：1"
13f7e995869e33e8,Wed Jun 26 2013 11:49:04 GMT+0800 (Taiwan Standard Time),Wed Jun 26 2013 11:48:55 GMT+0800 (Taiwan Standard Time),SEC,交易所_B,7632,long_to_short,-2,1,-1,normal,,"2013/06/26 11:48:55 ""7632.00"" 多翻空目前倉位：-1 之前倉位：1 交易所_B(小型台指) 倍數：1, 本次下單：-2 , 帳戶實際倉位：-1 , 總倉位：-1"
